materials_opaque_id,description,source,type,material_type,id,unit,province_state,city,year,material_cost,labour_cost,equipment_cost,material_op_factor,labour_op_factor,equipment_op_factor,quantity,material_mult,labour_mult,op_mult,eqpt
165,"Blanket Inuslation for floors/ceilings, fibreglass, unfaced, 1 side, 3.5"" thick, including spring type wire with fasteners",custom,Unit,opaque,091948,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
166,"roof deck extruded polystyrene, 3"" (R15), 25 PSI modifed to 2x4"" sheets ",custom,Unit,opaque,091949,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
167,"Sprayfoam- 2lb closed cell, 4"" thick",custom,Unit,opaque,091950,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
168,"Mineral wool board, rigid, 1"" thick",custom,Unit,opaque,091951,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
169,"Mineral wool board, rigid, 2"" thick",custom,Unit,opaque,091952,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
170,"Mineral wool board, rigid, 4"" thick",custom,Unit,opaque,091953,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
171,"Mineral wool board, rigid, 6"" thick",custom,Unit,opaque,091954,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
172,"Mineral wool board, rigid, 8"" thick",custom,Unit,opaque,091955,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
173,"Precast wall panel, 8x16, 4"" thick, uninsulated",custom,Assembly,opaque,021956,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
174,"Precast wall panel, add for 2"" polystyrene",custom,Unit,opaque,021957,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
175,"Mineral wool batt, 4"" thick, R20",custom,Unit,opaque,091958,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
176,"Precast wall panel, add for 3"" polystyrene",custom,Unit,opaque,021959,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
177,"Precast wall panel, add for 4"" polystyrene",custom,Unit,opaque,021960,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
178,"exterior gypsum sheahting, 1/2"" thick, weatherproof, glass mat facer",custom,Unit,opaque,081961,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
179,"self-adhered SBS Air/vapour/moisture barrier, 36"" wide with adhesive",custom,Unit,opaque,091962,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
180,"Poly Iso Wall Board, 2"" thick",custom,Unit,opaque,091963,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
181,"Poly Iso wallboard, 4"" thick",custom,Unit,opaque,091964,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
182,"galv. 2.5"" SS, LB Metal stud framing, stud wall top & bottom, no openings, 2x2.5"", 8 ft at 16"" o/c",custom,Unit,opaque,071965,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
183,"Flynn speedwall system- 6"" Quadcore",custom,Assembly,opaque,071966,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
184,"Flynn speedwall system- 6"" Quadcore + batt",custom,Assembly,opaque,071967,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
185,"4"" brick veneer w/ galvanized brick ties, galv. Steel shelf angles, lintels. ",custom,Assembly,opaque,061968,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
186,"4"" brick veneer w/ stainless steel brick ties, galv. Steel shelf angles, lintels. ",custom,Assembly,opaque,061969,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
187,"metal panels, mid-range, standard colour, excludes perimeter/transition sealants.",custom,Unit,opaque,071970,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
188,"Ejot Thermal Clips- 2.5"" per piece",custom,Unit,opaque,091971,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
189,"Ejot Thermal Clips- 4.5"" per piece",custom,Unit,opaque,091972,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
190,"Ejot Thermal Clips- 6.5"" per piece",custom,Unit,opaque,091973,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
191,"Ejot Thermal Clips- 7.5"" per piece",custom,Unit,opaque,091974,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
192,"Ejot Thermal Clips- 8.5"" per piece",custom,Unit,opaque,091975,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
193,"Ejot Thermal Clips- 11"" per piece",custom,Unit,opaque,091976,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
194,"Ejot Thermal Clips- 13"" per piece",custom,Unit,opaque,091977,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
195,"Ejot Thermal Clips- 16"" per piece",custom,Unit,opaque,091978,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
196,Fero-fast offset bracket c/w ledger angle,custom,Unit,opaque,071979,ft,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
197,"wood framed attic rafter vent baffles, 22x48,",custom,Unit,opaque,081980,each,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
198,"Structural steel column, 4"" diam, shop fab'd 100 ton (1-2 storey structural steel building).",custom,Unit,opaque,071981,ft,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
199,"XPS 2"", concrete faced insulation panel 2x4ft",custom,Unit,opaque,091982,each,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
200,"cast in place concrete forming, per Sqft. concrete area, based on a wall",custom,Unit,opaque,021983,SFCA,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
201,"cast in place concrete footing, reinforced strip footin 20x10"", placing and finishing",custom,Unit,opaque,021984,yd3,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
202,"Precast panel,  complete with X-Connectors (FRP) at 16""x32"" spacing, w 8"" of XPS Insulation",custom,Assembly,opaque,021985,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
203,"5/8"" inch galvanized steel hat tracks, 12ft long modified to sqft wall area (assuming every other stud)",custom,Unit,opaque,071986,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
204,"stainless steel brick ties (Hohmann & Barnard Masonry Stainless Steel 2-Seal Thermal Wing Nut Anchor)- up to 4"", 32x24"" spacing",custom,Unit,opaque,061987,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
205,"stainless steel brick ties (Hohmann & Barnard Masonry Stainless Steel 2-Seal Thermal Wing Nut Anchor)- up to 8"", 32"" x 24"" spacing",custom,Unit,opaque,061988,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
206,"wood nailing strip/strapping, 1""x1""x8' . Estimated to be similar to wood strapping",custom,Unit,opaque,081989,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
207,"galvanized steel brick ties, up to 4"", 32x24"" spacing",custom,Unit,opaque,061990,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
208,"galvanized steel brick ties, up to 8"", 32x24"" spacing",custom,Unit,opaque,061991,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
209,"1.5"" steel stud, non load bearing, installed, modified to sqft wall area",custom,Unit,opaque,071992,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
210,"3' x 20' long 26 guage painted wall panel, modified to sqft",custom,Unit,opaque,071993,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
211,"ZEE girt member, 16"" gauge, 25' long  isntalled at 2ft o/c vert., modified to sqft",custom,Unit,opaque,071994,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
212,"thermal tape and insulation break for metal sheet walls, at 2ft o/c vert.",custom,Unit,opaque,091995,ft2,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
213,generic structural thermal break for reinforcing steel in concrete parapet,custom,unit,opaque,021996,ft,BRITISH COLUMBIA,VANCOUVER,2022.0,,,,,,,1.0,1.0,1.0,1.0,1.0
